Process,Species,Covariate,Mean,SD,5%,50%,95%,Rhat,ESS,Migratory
Occupancy,Acadian Flycatcher,Intercept,0.1912,0.2455,-0.2078,0.1899,0.6009,1.009,1093,NE
Occupancy,Alder Flycatcher,Intercept,-4.6216,1.315,-6.5972,-4.6522,-2.7102,1.0256,456,NE
Occupancy,American Crow,Intercept,-0.0465,0.3586,-0.5501,-0.085,0.5649,0.9996,1200,R
Occupancy,American Goldfinch,Intercept,2.6628,0.7363,1.737,2.5167,4.0829,1.0012,918,M
Occupancy,American Kestrel,Intercept,-4.5448,1.2468,-6.5234,-4.5515,-2.5535,1.0195,711,R
Occupancy,American Redstart,Intercept,-2.9672,0.5013,-3.8005,-2.9684,-2.1472,1.0028,1332,NE
Occupancy,American Robin,Intercept,2.6351,0.3827,2.0564,2.6161,3.3281,1.0034,1200,M
Occupancy,American Woodcock,Intercept,-4.275,0.9362,-5.7557,-4.2818,-2.7891,1.01,781,M
Occupancy,Barred Owl,Intercept,-3.2875,1.1487,-5.0193,-3.3625,-1.4129,1.0593,518,R
Occupancy,Bald Eagle,Intercept,-3.4377,1.4129,-5.4218,-3.551,-1.0869,1.0404,228,R
Occupancy,Bank Swallow,Intercept,-4.2338,1.1182,-5.9617,-4.2777,-2.3513,1.0111,708,NE
Occupancy,Baltimore Oriole,Intercept,-0.4231,0.3099,-0.8826,-0.4433,0.1168,1.0095,1200,NE
Occupancy,Barn Swallow,Intercept,-1.8667,0.8009,-2.912,-1.9691,-0.4795,1.0097,740,NE
Occupancy,Black-capped Chickadee,Intercept,3.0492,0.7445,2.1018,2.9244,4.3819,1.0028,1499,R
Occupancy,Belted Kingfisher,Intercept,-0.9004,0.797,-2.0151,-1.0176,0.5679,1.0293,800,R
Occupancy,Blue-gray Gnatcatcher,Intercept,1.2169,0.4115,0.6409,1.1651,1.9481,1.0029,1200,M
Occupancy,Brown-headed Cowbird,Intercept,1.9184,0.4518,1.2985,1.8608,2.7602,1.0106,1318,M
Occupancy,Blue-headed Vireo,Intercept,-4.5263,1.1771,-6.4949,-4.5051,-2.5598,1.0061,870,NE
Occupancy,Blue Jay,Intercept,2.3014,0.4144,1.6946,2.266,3.0576,1.004,1200,M
Occupancy,Bobolink,Intercept,-5.9315,1.5924,-8.6984,-5.8624,-3.5178,1.004,696,NE
Occupancy,Brown Creeper,Intercept,-2.2452,0.4955,-3.0463,-2.2624,-1.4093,1.0001,1086,M
Occupancy,Brown Thrasher,Intercept,-3.4084,0.9812,-4.9642,-3.4596,-1.7278,1.019,900,M
Occupancy,Black-throated Green Warbler,Intercept,-6.0107,1.5531,-8.5702,-5.9199,-3.6457,1.0048,745,NE
Occupancy,Broad-winged Hawk,Intercept,-3.6784,1.1212,-5.3441,-3.7311,-1.6608,1.0054,646,NE
Occupancy,Blue-winged Warbler,Intercept,-3.3745,0.6747,-4.4806,-3.3688,-2.2742,1.0035,1200,NE
Occupancy,Canada Goose,Intercept,-1.144,1.0144,-2.5616,-1.2652,0.7494,1.0214,522,R
Occupancy,Carolina Wren,Intercept,0.1637,0.4349,-0.4656,0.1294,0.9354,1.0039,1200,R
Occupancy,Cedar Waxwing,Intercept,-0.0582,0.3458,-0.566,-0.0834,0.57,1.018,1200,M
Occupancy,Cerulean Warbler,Intercept,-5.9266,1.6624,-8.8318,-5.7489,-3.5001,1.0055,672,NE
Occupancy,Chipping Sparrow,Intercept,-1.0978,0.3771,-1.6536,-1.1249,-0.4421,1.0008,1200,M
Occupancy,Chimney Swift,Intercept,1.1799,0.8611,0.2858,0.9589,2.7691,1.0027,590,NE
Occupancy,Cliff Swallow,Intercept,-4.7819,1.2724,-6.8246,-4.7529,-2.7632,1.0019,777,NE
Occupancy,Common Grackle,Intercept,0.1837,0.4613,-0.5138,0.1506,0.9889,1.0025,1200,M
Occupancy,Cooper's Hawk,Intercept,-2.4793,0.6421,-3.4043,-2.5297,-1.3784,1.015,978,M
Occupancy,Common Yellowthroat,Intercept,-1.0629,0.2307,-1.426,-1.0643,-0.6846,1.0103,1200,NE
Occupancy,Dark-eyed Junco,Intercept,-1.9924,0.4749,-2.7297,-2.0139,-1.1967,1.0014,831,R
Occupancy,Downy Woodpecker,Intercept,2.5932,0.7328,1.6919,2.4727,3.9329,1.0176,1082,R
Occupancy,Eastern Bluebird,Intercept,-0.5668,0.7065,-1.4414,-0.6972,0.7318,1.004,776,M
Occupancy,Eastern Kingbird,Intercept,-3.313,0.5225,-4.1736,-3.2948,-2.4844,1.018,1200,NE
Occupancy,Eastern Meadowlark,Intercept,-4.3644,0.8717,-5.8061,-4.3212,-3.0242,1.0061,1200,M
Occupancy,Eastern Phoebe,Intercept,-1.2582,0.5584,-2.0354,-1.3392,-0.2941,1.0017,964,M
Occupancy,Eastern Towhee,Intercept,-1.3823,0.3055,-1.8821,-1.3766,-0.9121,1.001,1200,M
Occupancy,Eastern Wood-Pewee,Intercept,2.7687,0.4725,2.0906,2.727,3.5825,1.0091,1200,NE
Occupancy,European Starling,Intercept,-2.1292,0.377,-2.7591,-2.1167,-1.5334,1.0028,1200,R
Occupancy,Field Sparrow,Intercept,-3.164,0.4261,-3.9086,-3.1427,-2.5026,1.0024,1200,M
Occupancy,Great Blue Heron,Intercept,-2.2261,0.7978,-3.3048,-2.3124,-0.8511,1.0001,819,M
Occupancy,Great Crested Flycatcher,Intercept,1.7624,0.9045,0.7426,1.5521,3.4848,1.01,790,NE
Occupancy,Great Horned Owl,Intercept,-4.481,1.2496,-6.5008,-4.5187,-2.4063,1.02,828,R
Occupancy,Gray Catbird,Intercept,0.0931,0.2363,-0.2757,0.0881,0.4806,1.0068,1200,M
Occupancy,Green Heron,Intercept,-4.5947,1.2474,-6.5375,-4.6445,-2.5151,1.0291,673,M
Occupancy,Hairy Woodpecker,Intercept,1.111,0.9399,-0.0794,0.937,2.8746,1.0276,587,R
Occupancy,Herring Gull,Intercept,-5.0876,0.9811,-6.7932,-5.0607,-3.5777,1.0055,991,R
Occupancy,Hermit Thrush,Intercept,-4.8209,0.7826,-6.1581,-4.7551,-3.6401,1.009,1200,NE
Occupancy,House Finch,Intercept,-0.7796,0.7186,-1.7929,-0.8584,0.3746,1.0121,821,R
Occupancy,House Sparrow,Intercept,-1.8836,0.3194,-2.4059,-1.8695,-1.3895,1.0004,1200,R
Occupancy,Hooded Warbler,Intercept,-1.0448,0.2469,-1.4504,-1.0399,-0.6555,1.0029,1200,NE
Occupancy,House Wren,Intercept,-0.1458,0.1734,-0.4353,-0.1482,0.1303,1.0011,1200,M
Occupancy,Indigo Bunting,Intercept,-0.138,0.1976,-0.4484,-0.148,0.1981,1.0172,1200,NE
Occupancy,Killdeer,Intercept,-2.9907,0.6548,-4.0025,-3.0229,-1.9149,1.0002,1200,M
Occupancy,Louisiana Waterthrush,Intercept,-2.609,0.5221,-3.4279,-2.6183,-1.7576,0.9995,1200,NE
Occupancy,Mallard,Intercept,-2.6481,0.9681,-3.9568,-2.752,-1.0334,1.009,460,M
Occupancy,Mourning Dove,Intercept,-1.0717,0.5342,-1.8573,-1.1101,-0.1646,1.0051,1200,M
Occupancy,Northern Cardinal,Intercept,2.7059,0.4251,2.0924,2.6799,3.4311,1.0355,1200,R
Occupancy,Northern Flicker,Intercept,0.4583,0.7747,-0.5235,0.3315,1.8243,1.0015,727,M
Occupancy,Northern Parula,Intercept,-4.5172,1.277,-6.532,-4.547,-2.3118,1.0064,703,M
Occupancy,Northern Rough-winged Swallow,Intercept,-2.2786,0.6778,-3.2989,-2.3176,-1.124,1.0055,1082,M
Occupancy,Orchard Oriole,Intercept,-2.527,0.5367,-3.3849,-2.5348,-1.6391,1.0148,1200,NE
Occupancy,Ovenbird,Intercept,-3.292,0.4723,-4.1309,-3.2651,-2.5577,1.0047,1019,NE
Occupancy,Pileated Woodpecker,Intercept,1.0217,1.0262,-0.1921,0.7974,3.0108,1.0273,552,R
Occupancy,Purple Finch,Intercept,-4.6774,1.3452,-6.8338,-4.7312,-2.5551,1.0187,416,M
Occupancy,Purple Martin,Intercept,-5.97,1.5584,-8.6466,-5.8668,-3.6131,1.0148,704,NE
Occupancy,Rose-breasted Grosbeak,Intercept,-0.252,0.5313,-0.9711,-0.3235,0.6853,1.0024,1248,NE
Occupancy,Ring-billed Gull,Intercept,-2.9602,0.513,-3.8177,-2.9546,-2.1394,1.0006,1200,R
Occupancy,Red-breasted Nuthatch,Intercept,-4.5402,1.2899,-6.6667,-4.5031,-2.4482,1.0149,770,M
Occupancy,Red-bellied Woodpecker,Intercept,3.3068,0.737,2.2933,3.1937,4.692,1.0092,1044,R
Occupancy,Red-eyed Vireo,Intercept,2.948,0.4269,2.3029,2.9201,3.7037,1.0033,1091,NE
Occupancy,Red-headed Woodpecker,Intercept,-2.6928,0.9329,-4.0266,-2.8116,-0.932,1.0147,659,R
Occupancy,Rock Pigeon,Intercept,-3.6503,1.2217,-5.5095,-3.7579,-1.5443,1.0074,501,R
Occupancy,Red-shouldered Hawk,Intercept,-0.0175,1.4139,-1.8598,-0.2383,2.5896,1.0141,386,R
Occupancy,Red-tailed Hawk,Intercept,-1.0947,1.1175,-2.4014,-1.2879,0.9685,1.1004,325,R
Occupancy,Ruby-throated Hummingbird,Intercept,2.1017,1.5139,0.1697,1.8216,5.0406,1.0056,468,NE
Occupancy,Red-winged Blackbird,Intercept,-0.9339,0.2161,-1.307,-0.9229,-0.5994,1.0015,1249,M
Occupancy,Savannah Sparrow,Intercept,-5.092,1.0146,-6.8631,-5.0196,-3.5963,1.0089,985,M
Occupancy,Scarlet Tanager,Intercept,0.8144,0.3607,0.2592,0.794,1.4121,0.9994,1417,NE
Occupancy,Song Sparrow,Intercept,0.3049,0.1944,0.001,0.3026,0.632,1.0077,1200,R
Occupancy,Swamp Sparrow,Intercept,-3.6374,0.4912,-4.4666,-3.6159,-2.8687,0.9999,1051,M
Occupancy,Tree Swallow,Intercept,-3.0989,0.5713,-4.031,-3.1008,-2.2268,1.0074,1196,M
Occupancy,Tufted Titmouse,Intercept,3.3857,0.6673,2.4707,3.3039,4.6245,1.004,1177,R
Occupancy,Turkey Vulture,Intercept,-1.0222,1.0744,-2.5968,-1.0725,0.881,1.0044,611,M
Occupancy,Veery,Intercept,-2.2408,0.5544,-3.0859,-2.2728,-1.378,1.011,1200,NE
Occupancy,Virginia Rail,Intercept,-5.8825,1.5945,-8.688,-5.7558,-3.5628,1.024,694,M
Occupancy,Warbling Vireo,Intercept,-2.0728,0.3351,-2.6375,-2.0656,-1.5272,1.0017,1138,NE
Occupancy,White-breasted Nuthatch,Intercept,3.0148,0.8156,1.9707,2.8697,4.4985,0.9999,964,R
Occupancy,White-eyed Vireo,Intercept,-5.2691,0.9236,-6.9008,-5.2113,-3.8828,1.0048,1069,NE
Occupancy,Willow Flycatcher,Intercept,-3.4987,0.5266,-4.4124,-3.4671,-2.6505,0.9989,1144,NE
Occupancy,Wild Turkey,Intercept,-1.7523,1.5493,-3.6378,-2.1136,1.3565,1.024,201,R
Occupancy,Winter Wren,Intercept,-4.3198,0.952,-5.8885,-4.3039,-2.7741,1.0067,926,M
Occupancy,Wood Duck,Intercept,-3.8041,1.1623,-5.5289,-3.8889,-1.7607,1.0113,579,M
Occupancy,Wood Thrush,Intercept,0.8538,0.3225,0.3714,0.8244,1.4345,1.0029,1200,NE
Occupancy,Yellow-billed Cuckoo,Intercept,-1.791,1.2033,-3.4127,-1.9382,0.3947,1.0045,309,NE
Occupancy,Yellow Warbler,Intercept,-1.2857,0.2747,-1.7395,-1.2906,-0.8457,1.0022,1351,NE
Occupancy,Yellow-throated Vireo,Intercept,-1.6814,0.7249,-2.6381,-1.7783,-0.4967,1.0735,506,NE
Occupancy,Yellow-throated Warbler,Intercept,-3.0359,0.7513,-4.148,-3.0813,-1.7394,1.0079,932,NE
Occupancy,Acadian Flycatcher,tol_rel,-0.9695,0.2481,-1.4005,-0.9638,-0.5879,1.0177,1200,NE
Occupancy,Alder Flycatcher,tol_rel,0.6577,0.5153,-0.1615,0.6603,1.5103,1.0075,1390,NE
Occupancy,American Crow,tol_rel,0.2199,0.264,-0.193,0.2046,0.6834,0.9997,1200,R
Occupancy,American Goldfinch,tol_rel,0.1486,0.3808,-0.4349,0.1329,0.8245,1.0052,1161,M
Occupancy,American Kestrel,tol_rel,0.1963,0.534,-0.7264,0.1936,1.0538,0.9997,1338,R
Occupancy,American Redstart,tol_rel,0.3004,0.3702,-0.31,0.3034,0.9178,1.0058,1200,NE
Occupancy,American Robin,tol_rel,0.2802,0.3378,-0.2367,0.2576,0.8635,1.0004,1318,M
Occupancy,American Woodcock,tol_rel,0.2896,0.4623,-0.4829,0.3048,1.0304,1.001,1397,M
Occupancy,Barred Owl,tol_rel,0.8102,0.4623,0.0689,0.8062,1.579,1.0081,1351,R
Occupancy,Bald Eagle,tol_rel,0.3522,0.4949,-0.4622,0.3562,1.2076,1.0049,1200,R
Occupancy,Bank Swallow,tol_rel,1.0094,0.4734,0.251,1.0077,1.7611,0.9994,1200,NE
Occupancy,Baltimore Oriole,tol_rel,0.7448,0.2554,0.3304,0.7346,1.1802,1.0183,1247,NE
Occupancy,Barn Swallow,tol_rel,0.5956,0.398,-0.0014,0.5853,1.2545,0.9992,1200,NE
Occupancy,Black-capped Chickadee,tol_rel,0.0252,0.4721,-0.6974,0.0074,0.8345,1.0053,1200,R
Occupancy,Belted Kingfisher,tol_rel,0.3344,0.4058,-0.2773,0.31,1.0109,1.0099,1200,R
Occupancy,Blue-gray Gnatcatcher,tol_rel,-0.3585,0.2545,-0.786,-0.3605,0.0641,1.0156,1200,M
Occupancy,Brown-headed Cowbird,tol_rel,0.4991,0.3547,-0.0349,0.4738,1.1109,1.0103,1084,M
Occupancy,Blue-headed Vireo,tol_rel,0.1041,0.5208,-0.7432,0.1037,0.9714,0.9997,1200,NE
Occupancy,Blue Jay,tol_rel,-0.111,0.3098,-0.6005,-0.1166,0.3976,1.0049,1200,M
Occupancy,Bobolink,tol_rel,0.1855,0.5819,-0.7942,0.1973,1.1412,1.0019,984,NE
Occupancy,Brown Creeper,tol_rel,-0.0348,0.3607,-0.657,-0.0321,0.5324,1.0022,1200,M
Occupancy,Brown Thrasher,tol_rel,1.3639,0.4381,0.6837,1.344,2.1256,1.0018,1200,M
Occupancy,Black-throated Green Warbler,tol_rel,0.1703,0.5956,-0.8097,0.1983,1.1786,1.001,1200,NE
Occupancy,Broad-winged Hawk,tol_rel,-0.2096,0.5246,-1.0843,-0.2017,0.5781,1.0068,1099,NE
Occupancy,Blue-winged Warbler,tol_rel,0.7555,0.3701,0.1704,0.749,1.3867,1.0014,1200,NE
Occupancy,Canada Goose,tol_rel,0.5325,0.4116,-0.1259,0.516,1.2261,1.0093,1042,R
Occupancy,Carolina Wren,tol_rel,0.7609,0.3322,0.2783,0.7409,1.3126,1.0012,1200,R
Occupancy,Cedar Waxwing,tol_rel,0.7859,0.2855,0.3632,0.7707,1.2727,1.0087,1324,M
Occupancy,Cerulean Warbler,tol_rel,0.2091,0.5508,-0.6913,0.2309,1.0561,1.0001,1200,NE
Occupancy,Chipping Sparrow,tol_rel,0.0549,0.2547,-0.3499,0.052,0.4928,1.0023,911,M
Occupancy,Chimney Swift,tol_rel,0.1081,0.3398,-0.3984,0.096,0.6803,1.0028,1095,NE
Occupancy,Cliff Swallow,tol_rel,0.1713,0.5338,-0.679,0.1659,1.0362,1.004,1414,NE
Occupancy,Common Grackle,tol_rel,0.479,0.3283,-0.0265,0.4607,1.0347,1.0024,1082,M
Occupancy,Cooper's Hawk,tol_rel,0.5387,0.3496,-0.0465,0.5383,1.1192,1.0143,1102,M
Occupancy,Common Yellowthroat,tol_rel,0.9376,0.2273,0.5773,0.9292,1.3351,1.0013,1324,NE
Occupancy,Dark-eyed Junco,tol_rel,-0.4364,0.3503,-1.0087,-0.4336,0.1146,1.0102,1366,R
Occupancy,Downy Woodpecker,tol_rel,0.2396,0.3441,-0.3039,0.217,0.843,1.0004,1200,R
Occupancy,Eastern Bluebird,tol_rel,0.5399,0.3054,0.0803,0.5304,1.063,1.0047,1200,M
Occupancy,Eastern Kingbird,tol_rel,0.8687,0.3192,0.3812,0.858,1.4067,1.0132,1200,NE
Occupancy,Eastern Meadowlark,tol_rel,0.1051,0.4923,-0.753,0.1358,0.8474,1.0095,1363,M
Occupancy,Eastern Phoebe,tol_rel,-0.5102,0.3417,-1.0851,-0.4981,0.0082,1.0072,1200,M
Occupancy,Eastern Towhee,tol_rel,0.8076,0.2426,0.4354,0.7954,1.2351,1.0054,1200,M
Occupancy,Eastern Wood-Pewee,tol_rel,-0.8877,0.2955,-1.3761,-0.8746,-0.4196,1.0228,1200,NE
Occupancy,European Starling,tol_rel,0.7288,0.258,0.3278,0.7222,1.1547,1.0018,1177,R
Occupancy,Field Sparrow,tol_rel,0.8349,0.2949,0.3852,0.8252,1.364,1.0007,1323,M
Occupancy,Great Blue Heron,tol_rel,0.2107,0.3644,-0.3959,0.2131,0.7887,1.002,1200,M
Occupancy,Great Crested Flycatcher,tol_rel,-0.291,0.3352,-0.8335,-0.3037,0.275,1.0082,1134,NE
Occupancy,Great Horned Owl,tol_rel,0.2165,0.5173,-0.6368,0.2456,1.0781,1.0006,1200,R
Occupancy,Gray Catbird,tol_rel,0.7065,0.2384,0.3302,0.7028,1.1006,1.0109,1200,M
Occupancy,Green Heron,tol_rel,0.3387,0.5294,-0.523,0.3436,1.2457,1.0017,1320,M
Occupancy,Hairy Woodpecker,tol_rel,-0.3461,0.4129,-0.985,-0.3728,0.3479,1.0041,994,R
Occupancy,Herring Gull,tol_rel,-0.0749,0.5143,-0.9281,-0.0784,0.7576,1.0015,1200,R
Occupancy,Hermit Thrush,tol_rel,-0.0791,0.5014,-0.9365,-0.057,0.7002,1.004,1200,NE
Occupancy,House Finch,tol_rel,-0.0273,0.3549,-0.5827,-0.0412,0.5539,1.0036,1200,R
Occupancy,House Sparrow,tol_rel,-0.0122,0.233,-0.3955,-0.0073,0.3594,1.0015,1200,R
Occupancy,Hooded Warbler,tol_rel,-0.2365,0.2385,-0.629,-0.2349,0.1591,1.0006,1200,NE
Occupancy,House Wren,tol_rel,0.2379,0.1885,-0.0775,0.237,0.5538,1.0101,1200,M
Occupancy,Indigo Bunting,tol_rel,0.5735,0.2011,0.2646,0.5663,0.9156,1.0059,1200,NE
Occupancy,Killdeer,tol_rel,0.6536,0.3534,0.1142,0.6492,1.25,1.0148,1075,M
Occupancy,Louisiana Waterthrush,tol_rel,0.2178,0.3417,-0.3414,0.2213,0.8042,1.002,1200,NE
Occupancy,Mallard,tol_rel,0.1421,0.4251,-0.5624,0.1556,0.7915,1.0001,1054,M
Occupancy,Mourning Dove,tol_rel,1.057,0.3378,0.5343,1.0394,1.6529,1.0036,1200,M
Occupancy,Northern Cardinal,tol_rel,0.5304,0.3527,-0.0237,0.5126,1.1745,1.0073,1088,R
Occupancy,Northern Flicker,tol_rel,0.2254,0.3912,-0.342,0.1915,0.9256,1.0013,1200,M
Occupancy,Northern Parula,tol_rel,-0.1846,0.5211,-1.0673,-0.1943,0.6866,1.004,1200,M
Occupancy,Northern Rough-winged Swallow,tol_rel,0.5349,0.3765,-0.0397,0.5177,1.1593,1.0009,1200,M
Occupancy,Orchard Oriole,tol_rel,1.1265,0.3218,0.6241,1.105,1.6951,1.005,1200,NE
Occupancy,Ovenbird,tol_rel,0.2348,0.3436,-0.3493,0.2483,0.795,1.0053,1360,NE
Occupancy,Pileated Woodpecker,tol_rel,0.1527,0.4232,-0.4973,0.1343,0.89,1.0012,1200,R
Occupancy,Purple Finch,tol_rel,0.6904,0.5091,-0.1201,0.6887,1.4862,1.0028,1200,M
Occupancy,Purple Martin,tol_rel,0.201,0.5897,-0.8031,0.2123,1.1548,0.9994,1200,NE
Occupancy,Rose-breasted Grosbeak,tol_rel,0.4556,0.2927,0.0063,0.448,0.9525,1.0014,1200,NE
Occupancy,Ring-billed Gull,tol_rel,0.1125,0.3437,-0.4388,0.1157,0.6903,1.0087,1333,R
Occupancy,Red-breasted Nuthatch,tol_rel,0.2327,0.5495,-0.6774,0.2377,1.1285,1.0005,1200,M
Occupancy,Red-bellied Woodpecker,tol_rel,-0.3945,0.4076,-1.061,-0.4003,0.2744,1.0054,1508,R
Occupancy,Red-eyed Vireo,tol_rel,-0.8708,0.2746,-1.3412,-0.8613,-0.4375,1.0017,1045,NE
Occupancy,Red-headed Woodpecker,tol_rel,-0.321,0.4424,-1.025,-0.3195,0.3915,1.0031,1200,R
Occupancy,Rock Pigeon,tol_rel,0.0467,0.5004,-0.7607,0.0488,0.8659,1.0006,1200,R
Occupancy,Red-shouldered Hawk,tol_rel,0.11,0.5002,-0.671,0.0727,0.9697,1.0116,1200,R
Occupancy,Red-tailed Hawk,tol_rel,0.4424,0.3577,-0.1109,0.4306,1.02,1.0073,1200,R
Occupancy,Ruby-throated Hummingbird,tol_rel,0.3378,0.4955,-0.4686,0.3193,1.1943,1.0028,1200,NE
Occupancy,Red-winged Blackbird,tol_rel,0.7758,0.2091,0.4469,0.7716,1.132,1.0043,1200,M
Occupancy,Savannah Sparrow,tol_rel,0.217,0.5121,-0.6243,0.2234,1.0349,0.9999,1200,M
Occupancy,Scarlet Tanager,tol_rel,-0.6953,0.264,-1.1343,-0.7024,-0.2625,1.0024,1200,NE
Occupancy,Song Sparrow,tol_rel,0.8285,0.2177,0.487,0.8314,1.1989,1.0047,1200,R
Occupancy,Swamp Sparrow,tol_rel,0.5568,0.3381,-0.0103,0.5645,1.1237,1.0107,1200,M
Occupancy,Tree Swallow,tol_rel,0.9854,0.3131,0.4978,0.9765,1.5258,1.0151,1200,M
Occupancy,Tufted Titmouse,tol_rel,-0.3435,0.3824,-0.9709,-0.3408,0.2845,1.0029,1200,R
Occupancy,Turkey Vulture,tol_rel,0.8156,0.4682,0.119,0.7706,1.6464,1.0014,1200,M
Occupancy,Veery,tol_rel,0.2171,0.316,-0.3356,0.2299,0.7169,0.9993,1200,NE
Occupancy,Virginia Rail,tol_rel,0.2186,0.5558,-0.6939,0.2261,1.1097,1,1188,M
Occupancy,Warbling Vireo,tol_rel,0.6693,0.2389,0.2764,0.6595,1.0548,1.0019,1200,NE
Occupancy,White-breasted Nuthatch,tol_rel,-0.3197,0.3909,-0.9367,-0.3348,0.3217,1.0043,1200,R
Occupancy,White-eyed Vireo,tol_rel,0.0229,0.5103,-0.8107,0.049,0.8396,1.0126,1200,NE
Occupancy,Willow Flycatcher,tol_rel,1.3495,0.3307,0.8044,1.3439,1.9173,1.0032,1200,NE
Occupancy,Wild Turkey,tol_rel,-0.2545,0.5019,-1.0837,-0.2473,0.5703,1.0005,1074,R
Occupancy,Winter Wren,tol_rel,-0.2458,0.5249,-1.1687,-0.2245,0.545,1.009,1566,M
Occupancy,Wood Duck,tol_rel,0.5314,0.4749,-0.2231,0.5291,1.3113,1.002,1243,M
Occupancy,Wood Thrush,tol_rel,-0.2777,0.252,-0.687,-0.2645,0.1214,1.0033,1200,NE
Occupancy,Yellow-billed Cuckoo,tol_rel,0.1892,0.4517,-0.5565,0.181,0.929,1.0049,1200,NE
Occupancy,Yellow Warbler,tol_rel,1.1183,0.244,0.7521,1.1076,1.5395,1.0021,1200,NE
Occupancy,Yellow-throated Vireo,tol_rel,-0.3094,0.3655,-0.9209,-0.3033,0.293,1.0004,1200,NE
Occupancy,Yellow-throated Warbler,tol_rel,0.117,0.4114,-0.5454,0.1085,0.7727,1.0041,1200,NE
Occupancy,Acadian Flycatcher,svp,0.4608,0.2443,0.0739,0.448,0.8749,0.9999,1200,NE
Occupancy,Alder Flycatcher,svp,-0.0116,0.3173,-0.5392,-0.0087,0.5244,1.0049,1200,NE
Occupancy,American Crow,svp,-0.0604,0.2147,-0.4068,-0.0634,0.3035,1.0037,1200,R
Occupancy,American Goldfinch,svp,0.1039,0.278,-0.3508,0.1034,0.5651,1.0059,1200,M
Occupancy,American Kestrel,svp,-0.1661,0.3154,-0.7028,-0.1517,0.3242,1.0042,1321,R
Occupancy,American Redstart,svp,-0.1453,0.2848,-0.6533,-0.1369,0.2936,1.001,1200,NE
Occupancy,American Robin,svp,-0.3609,0.231,-0.7377,-0.362,0.0266,1.0003,1200,M
Occupancy,American Woodcock,svp,-0.1281,0.3208,-0.6693,-0.1154,0.3707,1.0062,1200,M
Occupancy,Barred Owl,svp,0.0258,0.3082,-0.4502,0.0247,0.5394,1.0056,1200,R
Occupancy,Bald Eagle,svp,-0.1928,0.3157,-0.7008,-0.1935,0.3079,1.0032,1200,R
Occupancy,Bank Swallow,svp,-0.0731,0.319,-0.5816,-0.0662,0.4544,1.0104,1081,NE
Occupancy,Baltimore Oriole,svp,-0.3785,0.2302,-0.747,-0.3713,-0.0029,1.0032,1251,NE
Occupancy,Barn Swallow,svp,-0.1611,0.2705,-0.6159,-0.1572,0.2647,1.0091,925,NE
Occupancy,Black-capped Chickadee,svp,0.0538,0.3119,-0.4314,0.0496,0.5578,0.9999,1200,R
Occupancy,Belted Kingfisher,svp,-0.1047,0.271,-0.5753,-0.0949,0.3229,1.0131,1200,R
Occupancy,Blue-gray Gnatcatcher,svp,0.118,0.2533,-0.264,0.102,0.554,1.0003,1200,M
Occupancy,Brown-headed Cowbird,svp,0.1316,0.2569,-0.2768,0.1176,0.5578,1.0095,1072,M
Occupancy,Blue-headed Vireo,svp,-0.0485,0.3308,-0.6095,-0.0419,0.4658,0.9997,1440,NE
Occupancy,Blue Jay,svp,-0.2114,0.2443,-0.6034,-0.2087,0.173,1.0002,1200,M
Occupancy,Bobolink,svp,-0.0627,0.3356,-0.6027,-0.0733,0.5118,1.0079,1325,NE
Occupancy,Brown Creeper,svp,0.427,0.2559,0.04,0.4058,0.8705,1.0012,987,M
Occupancy,Brown Thrasher,svp,-0.169,0.3007,-0.7,-0.1478,0.3038,1.006,1200,M
