"plot_id","id","site name","reservation","community","vibi","fqai","deer","year","panel","pcap id","fragment id","developed","activity area","closest developed","sanctioned trail","bootleg trail","closest trail","developed edge","stream edge","total edges","fragment area","fragment perimeter","ldi index score","area","perimeter","field_25"
"1001_1st",1,1001,North Chagrin,Steep Slope-Mixed Forest,,,,2010,Year_1,1,17349,147,5,5,,,,6679,0,6679,852672,4893,6.01,0,0,
"1007_1st",7,1007,Mill Stream Run,Mowed/Gravel Roadway,,,,2010,Year_1,7,1038,5,,5,,,,805,2311,3116,48493,1091,3.14,0,0,
"1020_1st",20,1020,Bedford,Mowed Ball Field,,,,2010,Year_1,20,3386,38,0,0,29,38,29,10139,8695,18834,1945098,13162,1.78,0,0,
"1023_1st",23,1023,Brecksville,Mowed Pkwy Right of way,,,,2010,Year_1,23,840,17,,17,,,,4567,0,4567,72768,2744,3.92,0,0,
"1027_1st",27,1027,South Chagrin,Mowed Hill,,,,2010,Year_1,27,2941,33,144,33,50,203,50,7217,0,7217,248816,3625,3.48,0,0,
"1032_1st",32,1032,South Chagrin,Streams and Rivers,,,,2010,Year_1,32,6908,159,195,159,22,38,22,11301,3296,14597,601646,6614,3.54,166311,2568,
"1036_1st",36,1036,Euclid Creek,Vertical slope- no veg,,,,2010,Year_1,36,16416,27,,27,156,180,156,9802,459,10262,369958,7666,3.57,0,0,
"1037_1st",37,1037,Hinckley,Mowed lawn,,,,2010,Year_1,37,672,73,,73,,,,7610,1898,9508,480020,4295,1.51,0,0,
"1042_1st",42,1042,Rocky River,Steep Slope-Mixed Forest,,,,2010,Year_1,42,7742,18,,18,,,,11734,0,11734,160258,4457,3.75,0,0,
"1186_1st",185,1186,Big Creek,Mowed berm,,,,2011,Year_2,209,1886,5,,5,,,,1673,145,1818,27801,1148,3.4,0,0,
"1049_1st",49,1049,North Chagrin,Mowed  Golf Course,,,,2010,Year_1,49,17349,95,0,0,,,,6679,0,6679,852672,4893,6.01,0,0,
"1056_1st",56,1056,North Chagrin,Eroded grassy slope,,,,2010,Year_1,56,16457,31,,31,,,,4724,1642,6365,101664,2878,2.24,0,0,
"1062_1st",62,1062,Mill Stream Run,Mowed Area,,,,2010,Year_1,62,2221,62,3,3,85,238,85,4516,0,4516,246183,3919,4.39,0,0,
"1079_1st",79,1079,Bedford,Mowed Right of way,,,,2010,Year_1,79,3482,8,,8,,,,2319,0,2319,7583,979,2.49,0,0,
"1084_1st",84,1084,Washington,Disturbed soil,,,,2010,Year_1,84,21578,22,0,0,,,,2568,0,2568,53547,1289,7.32,0,0,
"1085_1st",85,1085,Hinckley,Paved,,,,2010,Year_1,85,700,11,0,0,3,74,3,2872,1955,4827,467089,4305,1.77,0,0,
"1128_1st",127,1128,South Chagrin,Beech-red oak forest,67,25.62512554,low,2011,Year_2,152,10063,9,,9,445,447,445,12255,0,12255,371460,4714,2.0,0,0,
"1129_1st",128,1129,North Chagrin,Beech-maple forest,63,27.95426938,low,2011,Year_2,153,17124,310,261,261,25,33,25,11010,1830,12839,1917366,8952,1.68,1087039,6762,
"1095_1st",95,1095,Bedford,Paved,,,,2010,Year_1,95,3296,65,0,0,,,,5979,2442,8421,398147,5867,2.57,0,0,
"1109_1st",108,1109,Brecksville,Streams and Rivers,,,,2011,Year_2,133,1535,6,,6,,,,2619,2979,5598,17029,2556,1.4,0,0,
"1118_1st",117,1118,Rocky River,Streams and Rivers,,,,2011,Year_2,142,3777,91,101,91,250,76,76,697,701,1399,48598,1303,1.25,0,0,
"1120_1st",119,1120,North Chagrin,Mowed area in parking lot,,,,2011,Year_2,144,17763,4,0,0,,,,397,0,397,4526,288,3.37,0,0,
"1121_1st",120,1121,Brecksville,Mowed berm,,,,2011,Year_2,145,767,4,25,4,60,226,60,7163,0,7163,667918,5455,1.75,0,0,
"1130_1st",129,1130,Hinckley,Small (<25 ac) reservoir,,,,2011,Year_2,154,335,75,58,58,58,537,58,12459,4223,16682,1813467,11535,1.38,0,0,
"1137_1st",136,1137,Brecksville,Mowed Golf Course,,,,2011,Year_2,160,871,180,0,0,212,122,122,7742,0,7742,1167757,4704,3.82,0,0,
"1139_1st",138,1139,Bedford,Streams and Rivers,,,,2011,Year_2,162,3447,155,,155,,,,2547,3182,5729,434964,5234,1.88,228870,2724,
"1142_1st",141,1142,Big Creek,Paved,,,,2011,Year_2,165,5357,3,,3,,,,2275,0,2275,6648,1088,6.11,0,0,
"1152_1st",151,1152,Brookside,Paved,,,,2011,Year_2,175,7233,11,0,0,122,140,122,1791,797,2588,56156,1420,7.02,0,0,
"1158_1st",157,1158,Rocky River,Mowed Golf Course,,,,2011,Year_2,181,6695,454,0,0,555,275,275,3838,3163,7000,757565,6420,5.15,0,0,
"1160_1st",159,1160,South Chagrin,Mowed,,,,2011,Year_2,183,9735,12,,12,510,203,203,7348,2052,9401,142941,3271,2.83,0,0,
"1163_1st",162,1163,Mill Stream Run,Streams and Rivers,,,,2011,Year_2,186,1156,194,,194,,,,1210,1096,2307,87758,1540,2.31,55944,963,
"1165_1st",164,1165,Hinckley,Large (>50 ac) reservior,,,,2011,Year_2,188,700,120,110,110,10,16,10,2872,1955,4827,467089,4305,1.77,0,0,
"1170_1st",169,1170,Rocky River,Mowed Golf Course,,,,2011,Year_2,193,6695,299,0,0,385,278,278,3838,3163,7000,757565,6420,5.15,0,0,
"1172_1st",171,1172,South Chagrin,Streams and Rivers,,,,2011,Year_2,195,6908,47,151,47,283,128,128,11301,3296,14597,601646,6614,3.54,7461,392,
"1177_1st",176,1177,North Chagrin,Atypical Upland Forest,29,13.57142857,low,2011,Year_2,200,17070,160,,160,17,6,6,2842,2300,5142,138658,1710,3.33,76970,1177,
"1181_1st",180,1181,Hinckley,Large (>50 ac) reservior,,,,2011,Year_2,204,674,56,38,38,86,35,35,3121,1955,5076,367363,4984,1.23,0,0,
"1185_1st",184,1185,Brecksville,Paved,,,,2011,Year_2,208,758,11,0,0,2,77,2,9445,9766,19211,2708700,9043,1.31,0,0,
"1193_1st",192,1193,North Chagrin,Mowed area in parking lot,,,,2011,Year_2,216,17124,12,0,0,37,96,37,11010,1830,12839,1917366,8952,1.68,0,0,
"1201_1st",200,1201,Brecksville,"""MIXED"" FORESTS",47,20.22482332,,2012,Year_3,243,1044,15,0,0,11,122,11,8257,749,9006,1771071,6580,1.5,0,0,
"1202_1st",201,1202,Rocky River,Steep Slope-Mixed Forest,,,,2012,Year_3,244,3733,29,,29,,,,3830,1938,5768,165914,4350,2.53,0,0,
"1203_1st",202,1203,Bedford,Streams and Rivers,,,,2012,Year_3,245,3462,92,,92,,,,1899,2220,4119,80914,3146,2.64,0,0,
"1214_1st",213,1214,Rocky River,Paved,,,,2012,Year_3,256,21921,0,12,0,19,354,19,4754,13,4767,128325,3493,4.62,0,0,
"1225_1st",224,1225,North Chagrin,Mowed Golf Course,,,,2012,Year_3,267,17349,71,0,0,,,,6679,0,6679,852672,4893,6.01,0,0,
"1227_1st",226,1227,Mill Stream Run,Steep Slope-Mixed Forest,,,,2012,Year_3,269,828,74,461,74,34,64,34,12861,2764,15624,3645170,10878,1.22,0,0,
"1228_1st",227,1228,Garfield Park,Paved,,,,2012,Year_3,270,7676,1,204,1,14,93,14,3537,1676,5214,299826,3746,6.4,0,0,
"1234_1st",233,1234,Rocky River,Mowed Golf Course,,,,2012,Year_3,276,7034,119,6,6,102,131,102,8129,3163,11291,1076909,9523,2.66,0,0,
"1239_1st",238,1239,Bedford,Mowed Golf Course,,,,2012,Year_3,281,2936,284,0,0,447,549,447,8175,241,8416,958260,4891,6.12,0,0,
"1244_1st",243,1244,Ohio and Erie Canal,Mowed,,,,2012,Year_3,286,9961,7,,7,,,,3124,0,3124,8116,1396,7.67,0,0,
"1247_1st",246,1247,South Chagrin,Paved,,,,2012,Year_3,289,4297,3,,3,,,,8698,0,8698,216691,4044,2.63,0,0,
"1251_1st",250,1251,Bedford,Steep Slope-Mixed Forest,,,,2012,Year_3,293,3386,15,1058,15,301,289,289,10139,8695,18834,1945098,13162,1.78,0,0,
"1260_1st",259,1260,Ohio and Erie Canal,Steep Slope,,,,2012,Year_3,302,7567,3,,3,,,,9213,2418,11631,92757,3498,3.42,0,0,
"1270_1st",269,1270,Mill Stream Run,Streams and Rivers,,,,2012,Year_3,312,1858,22,15,15,15,178,15,2003,974,2977,85369,1619,1.65,0,0,
"1273_1st",272,1273,North Chagrin,Hemlock-hardwood forest,39,16.03567451,,2012,Year_3,315,17072,493,957,493,6,6,6,3845,1830,5674,584325,4305,1.46,373019,3297,
"1278_1st",277,1278,Rocky River,Steep Slope,,,,2012,Year_3,320,10915,12,,12,425,54,54,4919,1049,5968,132832,4379,3.6,0,0,
"1280_1st",279,1280,Brookside,Mowed Field,,,,2012,Year_3,322,6726,107,0,0,88,142,88,6501,156,6658,269922,3743,5.23,0,0,
"1285_1st",284,1285,Brecksville,Steep Slope-Mixed Forest,,,,2012,Year_3,327,836,439,,439,,,,11366,6687,18053,1996689,8598,1.15,1442707,5815,
"1290_1st",289,1290,Hinckley,Upland Farm Field,,,,2012,Year_3,332,691,40,,40,,,,2215,0,2215,134483,1843,2.8,0,0,
"1303_1st",302,1303,Bedford,Buildings and Other Structures,,,,2013,Year_4,362,2936,90,17,17,696,745,696,8175,241,8416,958260,4891,6.12,0,0,
"1322_1st",321,1322,Hinckley,"""MIXED"" FORESTS",77,25.0,low,2013,Year_4,381,335,52,827,52,193,145,145,12459,4223,16682,1813467,11535,1.38,0,0,
"1305_1st",304,1305,Hinckley,Streams and Rivers,,,,2013,Year_4,364,517,140,,140,,,,11862,5584,17446,1444312,11430,1.1,567582,5342,
"1324_1st",323,1324,Bedford,Mesic Floodplain Forest,30,13.3,low,2013,Year_4,383,4924,28,,28,,,,2199,1159,3359,54041,2062,2.65,0,0,
"1311_1st",310,1311,South Chagrin,Mowed Berm,,,,2013,Year_4,370,4297,12,,12,,,,8698,0,8698,216691,4044,2.63,0,0,
"1315_1st",314,1315,Bedford,Red maple thickets and woodlands,24,15.31883372,,2013,Year_4,374,2151,123,,123,,,,4937,1106,6043,283493,2922,1.39,56098,1011,
"1323_1st",322,1323,Huntington,Paved,,,,2013,Year_4,382,14204,62,2,2,0,67,0,2536,220,2756,74825,2042,6.9,0,0,
"1331_1st",330,1331,South Chagrin,Mowed Hill,,,,2013,Year_4,390,4573,59,0,0,,,,4476,889,5365,200486,3466,3.25,0,0,
"1332_1st",331,1332,North Chagrin,Beech-maple forest,47,20.74179891,,2013,Year_4,391,16616,354,375,354,11,115,11,5583,1230,6813,1485834,5875,1.67,1026858,4909,
"1334_1st",333,1334,Rocky River,Mowed Golf Course,,,,2013,Year_4,393,7034,134,0,0,351,177,177,8129,3163,11291,1076909,9523,2.66,0,0,
"1337_1st",336,1337,North Chagrin,Steep Slope-Mixed Forest,,,,2013,Year_4,396,17124,197,228,197,84,37,37,11010,1830,12839,1917366,8952,1.68,1087039,6762,
"1342_1st",341,1342,Rocky River,Steep Slope-Mixed Forest,,,,2013,Year_4,401,7337,56,,56,522,230,230,9673,3761,13434,628715,11930,1.8,0,0,
"1344_1st",343,1344,North Chagrin,Mowed Berm,,,,2013,Year_4,403,17349,10,0,0,,,,6679,0,6679,852672,4893,6.01,0,0,
"1345_1st",344,1345,Brecksville,Mowed Golf Course,,,,2013,Year_4,404,871,161,0,0,206,100,100,7742,0,7742,1167757,4704,3.82,0,0,
"1346_1st",345,1346,Rocky River,Mowed Picnic Area,,,,2013,Year_4,405,7815,64,8,8,85,133,85,7774,6303,14077,942215,11103,1.97,0,0,
"1354_1st",353,1354,Hinckley,"""MIXED"" FORESTS",47,16.15069124,low,2013,Year_4,413,335,418,498,418,11,220,11,12459,4223,16682,1813467,11535,1.38,1140957,7831,
"1356_1st",355,1356,North Chagrin,Paved,,,,2013,Year_4,415,17803,7,,7,,,,2288,0,2288,8596,1287,7.46,0,0,
"1364_1st",363,1364,South Chagrin,Mowed Polo Field,,,,2013,Year_4,423,6908,103,0,0,61,523,61,11301,3296,14597,601646,6614,3.54,0,0,
"1378_1st",377,1378,Rocky River,Buildings and Other Structures,,,,2013,Year_4,436,3614,50,6,6,11,2,2,7409,1895,9304,659619,5641,2.43,0,0,
"1382_1st",381,1382,Big Creek,Paved,,,,2013,Year_4,440,3107,4,,4,,,,3792,0,3792,9993,1960,6.94,0,0,
"1391_1st",390,1391,South Chagrin,Paved,,,,2013,Year_4,448,4198,1,41,1,,,,3444,0,3444,6538,1166,4.93,0,0,
"1392_1st",391,1392,North Chagrin,Steep Slope-Hemlock-hardwood forest,,,,2013,Year_4,449,16616,396,534,396,27,65,27,5583,1230,6813,1485834,5875,1.67,1026858,4909,
"1397_1st",396,1397,Hinckley,Mowed Picnic Area,,,,2013,Year_4,454,318,8,0,0,35,174,35,23105,0,23105,4185661,12531,1.38,0,0,
"1398_1st",397,1398,Mill Stream Run,Streams and Rivers,,,,2013,Year_4,455,1858,37,356,37,22,25,22,2003,974,2977,85369,1619,1.65,0,0,
"3432_1st",446,3432,Bedford,Streams and Rivers,6,9.875414398,low,2013,Year_4,463,2169,152,,152,29,112,29,11148,2862,14011,939302,6219,1.65,368780,4479,
"3428_1st",445,3428,South Chagrin,Red maple thickets and woodlands,26,17.93223961,high,2013,Year_4,462,10427,98,,98,,,,5269,0,5269,201940,3326,2.24,0,0,
"1008_1st",8,1008,West Creek,Mesic Floodplain Forest,36,17.4077656,high,2010,Year_1,8,2875,69,,69,1776,48,48,11387,3831,15218,536239,9971,1.61,0,0,
"1010_1st",10,1010,Rocky River,Mesic Floodplain Forest,33,22.86002286,high,2010,Year_1,10,2879,23,,23,,,,9399,4852,14251,921849,7816,2.72,0,0,
"1013_1st",13,1013,Brecksville,Beech-maple forest,54,22.06253738,high,2010,Year_1,13,802,1,,1,,,,7537,0,7537,68352,2997,2.76,0,0,
"1014_1st",14,1014,Mill Stream Run,Blackberry and Grape Tangle,42,15.75341908,high,2010,Year_1,14,1865,17,556,17,,,,4217,0,4217,380278,3205,1.47,0,0,
"1018_1st",18,1018,Hinckley,Mesic Floodplain Forest,43,26.94438717,high,2010,Year_1,18,664,705,718,705,500,188,188,12373,3242,15615,2008135,8465,1.7,1218361,7697,
"1019_1st",19,1019,Mill Stream Run,Beech-red oak forest,46,19.82481414,high,2010,Year_1,19,828,58,944,58,179,17,17,12861,2764,15624,3645170,10878,1.22,0,0,
"1022_1st",22,1022,Rocky River,"""MIXED"" FORESTS",41,16.90308509,high,2010,Year_1,22,12103,88,71,71,86,6,6,4472,1068,5540,280992,3177,2.86,0,0,
"1024_1st",24,1024,Big Creek,Beech-maple forest,54,21.31718139,high,2010,Year_1,24,9863,25,7,7,31,11,11,1699,782,2481,96883,1847,3.96,0,0,
"1025_1st",25,1025,Brecksville,Dry-Mesic Oak Forest and Woodland,64,30.83050437,high,2010,Year_1,25,758,110,160,110,22,85,22,9445,9766,19211,2708700,9043,1.31,1937830,9532,
"1028_1st",28,1028,North Chagrin,Beech-maple forest,55,23.19253365,high,2010,Year_1,28,16615,25,,25,502,501,501,9324,2678,12002,680474,8158,1.74,0,0,
"1029_1st",29,1029,Brecksville,reed canary grass meadow,27,6.454972244,high,2010,Year_1,29,1209,56,,56,,,,8652,2481,11133,591040,5631,1.22,0,0,
"1031_1st",31,1031,Bedford,"""MIXED"" FORESTS",67,32.60587151,high,2010,Year_1,31,3203,50,57,50,65,246,65,6926,0,6926,650049,5995,1.91,0,0,
"1038_1st",38,1038,Rocky River,Beech-maple forest,43,20.13045688,high,2010,Year_1,38,7273,52,,52,,,,8989,1284,10273,338893,8005,2.64,0,0,
"1046_1st",46,1046,Big Creek,Mixed emergent marsh,10,6.717514421,high,2010,Year_1,46,3248,105,,105,153,228,153,3779,254,4033,223909,3394,1.47,39598,938,
"1052_1st",52,1052,Ohio and Erie Canal,Cottonwood Forest,12,9.797958971,high,2010,Year_1,52,10650,28,,28,,,,7175,434,7609,102335,6322,3.8,0,0,
"1053_1st",53,1053,Hinckley,Mesic Floodplain Forest,49,30.25315411,high,2010,Year_1,53,664,278,327,278,123,25,25,12373,3242,15615,2008135,8465,1.7,1218361,7697,
"1061_1st",61,1061,Brecksville,Dry-Mesic Oak Forest and Woodland,57,24.18048081,high,2010,Year_1,61,758,349,358,349,22,271,22,9445,9766,19211,2708700,9043,1.31,1937830,9532,
"1067_1st",67,1067,Mill Stream Run,"""MIXED"" FORESTS",40,17.09818195,high,2010,Year_1,67,1912,82,,82,49,23,23,4635,974,5609,362906,4689,1.31,0,0,
"1078_1st",78,1078,Big Creek,Maple-Ash swamp,44,17.75592091,high,2010,Year_1,78,6374,186,,186,,,,1029,919,1947,127336,1862,1.48,47391,1283,
"1080_1st",80,1080,South Chagrin,"""MIXED"" FORESTS",43,15.89438828,high,2010,Year_1,80,6908,30,188,30,133,243,133,11301,3296,14597,601646,6614,3.54,0,0,
"1083_1st",83,1083,Mill Stream Run,"""MIXED"" FORESTS",30,16.27763922,high,2010,Year_1,83,828,180,171,171,14,144,14,12861,2764,15624,3645170,10878,1.22,2528157,11042,
"1086_1st",86,1086,Rocky River,Cottonwood Forest,55,21.77324216,high,2010,Year_1,86,12104,8,451,8,448,27,27,1434,1068,2502,95421,2036,1.74,0,0,
"1090_1st",90,1090,Rocky River,Beech-maple forest,51,17.05961028,high,2010,Year_1,90,3744,187,109,109,,,,975,818,1794,106008,1331,2.33,29768,927,
"1092_1st",92,1092,North Chagrin,Dry-Mesic Oak Forest and Woodland,52,20.79787788,high,2010,Year_1,92,16616,166,316,166,65,311,65,5583,1230,6813,1485834,5875,1.67,1026858,4909,
"1093_1st",93,1093,Brecksville,"""MIXED"" FORESTS",39,20.98357321,high,2010,Year_1,93,836,46,,46,,,,11366,6687,18053,1996689,8598,1.15,0,0,
"1094_1st",94,1094,Rocky River,"""MIXED"" FORESTS",30,15.89769927,high,2010,Year_1,94,7034,28,475,28,66,5,5,8129,3163,11291,1076909,9523,2.66,0,0,
"1104_1st",103,1104,North Chagrin,Mesic Floodplain Forest,34,13.62659937,high,2011,Year_2,128,17908,49,,49,,,,5991,1316,7307,227917,3223,2.14,0,0,
"1106_1st",105,1106,Rocky River,Young field (<5 years),0,6.736096793,high,2011,Year_2,130,6700,65,64,64,,,,8593,0,8593,448013,7779,2.62,0,0,
"1111_1st",110,1111,Bedford,Red maple thickets and woodlands,26,21.15352685,high,2011,Year_2,135,3347,32,,32,479,595,479,8869,241,9110,767481,6503,1.63,0,0,
"1123_1st",122,1123,Bedford,Dogwood Thickets,10,8.928837434,high,2011,Year_2,147,2169,6,,6,247,13,13,11148,2862,14011,939302,6219,1.65,0,0,
"1124_1st",123,1124,South Chagrin,"""MIXED"" FORESTS",53,18.67524313,high,2011,Year_2,148,7527,36,118,36,26,161,26,3467,2662,6129,417933,3758,2.39,0,0,
"1141_1st",140,1141,Brecksville,Cratategus shrub thicket,27,13.48073287,high,2011,Year_2,164,1390,188,387,188,321,444,321,5549,384,5932,543850,3152,1.39,261269,2299,
"1149_1st",148,1149,Hinckley,"""MIXED"" FORESTS",54,17.07211595,high,2011,Year_2,172,664,69,55,55,58,248,58,12373,3242,15615,2008135,8465,1.7,0,0,
"1151_1st",150,1151,Mill Stream Run,Sugar maple forest,46,20.98442646,high,2011,Year_2,174,828,277,1197,277,255,227,227,12861,2764,15624,3645170,10878,1.22,2528157,11042,
"1157_1st",156,1157,Brecksville,"""MIXED"" FORESTS",57,20.22107544,high,2011,Year_2,180,836,327,,327,,,,11366,6687,18053,1996689,8598,1.15,1442707,5815,
"1159_1st",158,1159,Bedford,"""MIXED"" FORESTS",36,16.95401417,high,2011,Year_2,182,3347,270,,270,238,89,89,8869,241,9110,767481,6503,1.63,322092,2502,
"1178_1st",177,1178,Bradley Woods,Oak-Maple swamp,67,27.82804341,high,2011,Year_2,201,9822,26,,26,757,751,751,9409,0,9409,929300,6451,1.4,0,0,
"1180_1st",179,1180,Ohio and Erie Canal,Old field (>10 years),36,11.84948338,high,2011,Year_2,203,7524,61,,61,,,,3057,3620,6677,254114,4155,5.13,0,0,
"1182_1st",181,1182,Rocky River,"""MIXED"" FORESTS",43,18.70924141,high,2011,Year_2,205,9943,161,215,161,53,101,53,8624,0,8624,451709,7202,1.9,71024,1222,
"1183_1st",182,1183,South Chagrin,"""MIXED"" FORESTS",33,14.5780943,high,2011,Year_2,206,10417,30,,30,,,,6839,0,6839,19586,784,5.41,0,0,
"1191_1st",190,1191,Bedford,"""MIXED"" FORESTS",70,24.27119505,high,2011,Year_2,214,3386,107,532,107,100,22,22,10139,8695,18834,1945098,13162,1.78,1238095,9912,
"1192_1st",191,1192,South Chagrin,Beech forest,67,28.29615047,high,2011,Year_2,215,9162,77,835,77,438,416,416,10222,0,10222,1149320,7522,1.62,0,0,
"1196_1st",195,1196,Bedford,"""MIXED"" FORESTS",28,12.70170592,high,2011,Year_2,219,2936,74,0,0,588,771,588,8175,241,8416,958260,4891,6.12,0,0,
"1212_1st",211,1212,Euclid Creek,Streams and Rivers,34,11.8058366,high,2012,Year_3,254,16484,76,53,53,13,14,13,5927,4148,10075,543735,8853,3.86,0,0,
"1223_1st",222,1223,Bedford,"""MIXED"" FORESTS",33,16.17294353,high,2012,Year_3,265,3347,29,,29,615,121,121,8869,241,9110,767481,6503,1.63,0,0,
"1248_1st",247,1248,North Chagrin,Beech forest,43,15.66666667,high,2012,Year_3,290,16616,64,324,64,78,59,59,5583,1230,6813,1485834,5875,1.67,0,0,
